100	0.020000	1.000000	1.290000	2.170000	2.990000	3.740000	4.000000	5.200000	6.230000	7.020000	7.690000	8.840000	9.100000	9.830000	10.830000	11.370000	
200	0.000000	1.000000	1.100000	2.040000	2.950000	3.150000	3.570000	5.170000	6.060000	6.330000	7.600000	8.190000	9.110000	10.060000	11.050000	11.850000	
300	0.010000	1.000000	1.040000	2.020000	2.730000	3.340000	4.050000	5.080000	5.330000	6.110000	6.500000	7.750000	9.270000	9.080000	10.190000	10.770000	
400	0.020000	1.000000	1.810000	2.030000	3.070000	3.090000	4.080000	4.990000	5.110000	6.130000	6.290000	7.190000	8.150000	8.700000	9.240000	9.970000	
500	0.010000	1.020000	1.600000	2.010000	3.000000	3.680000	4.020000	5.080000	5.040000	6.260000	6.860000	7.180000	8.250000	8.160000	9.200000	10.190000	
600	0.010000	1.000000	1.680000	2.110000	3.040000	3.890000	4.110000	5.040000	5.210000	6.020000	7.090000	7.640000	8.100000	9.110000	9.180000	9.290000	
700	0.000000	1.000000	1.860000	2.020000	3.000000	3.520000	4.090000	5.180000	6.040000	6.430000	7.090000	7.640000	6.730000	8.950000	9.330000	10.120000	
800	0.010000	1.000000	1.860000	2.030000	3.050000	3.250000	4.130000	5.070000	6.090000	6.400000	7.070000	8.020000	9.080000	9.190000	9.930000	10.290000	
900	0.020000	1.000000	1.940000	2.090000	2.990000	3.930000	4.230000	5.230000	5.880000	6.090000	7.030000	7.890000	8.930000	9.580000	10.340000	10.660000	
1000	0.070000	1.030000	1.940000	2.060000	3.040000	3.910000	3.180000	5.080000	6.070000	6.170000	7.140000	7.640000	8.300000	9.180000	10.250000	11.050000	
2000	2.000000	1.880000	2.000000	2.410000	3.040000	3.980000	4.340000	5.100000	6.080000	7.030000	7.210000	8.070000	8.830000	9.220000	10.800000	11.340000	
3000	4.090000	3.930000	3.540000	3.400000	3.740000	4.170000	5.010000	5.340000	6.040000	6.390000	7.740000	8.100000	9.060000	10.050000	10.290000	11.170000	
4000	7.000000	6.330000	5.970000	6.120000	5.790000	5.630000	5.940000	6.140000	6.670000	7.070000	8.060000	8.770000	9.190000	10.130000	10.350000	11.510000	
5000	11.090000	10.270000	8.440000	8.700000	8.110000	8.070000	7.710000	8.110000	8.260000	8.570000	9.110000	9.290000	10.120000	10.450000	11.300000	11.520000	
6000	16.250000	14.800000	11.150000	12.180000	11.440000	11.120000	10.720000	10.790000	10.780000	11.030000	11.710000	11.610000	12.200000	12.120000	12.580000	13.030000	
7000	21.330000	18.160000	15.200000	15.910000	15.030000	14.880000	13.310000	13.950000	13.710000	14.070000	13.750000	14.200000	14.740000	15.290000	15.150000	15.940000	
8000	28.030001	24.920000	19.200001	20.160000	19.049999	18.930000	17.219999	17.459999	17.240000	17.309999	17.320000	17.309999	17.799999	18.059999	18.410000	18.750000	
9000	35.490002	30.209999	24.430000	24.840000	24.230000	23.650000	21.180000	21.459999	21.270000	21.580000	20.940001	20.959999	21.309999	21.709999	21.530001	21.879999	
10000	43.759998	39.020000	29.360001	28.600000	29.719999	28.980000	26.080000	26.219999	25.740000	26.120001	25.280001	25.080000	25.700001	25.600000	25.540001	26.059999	
20000	170.160004	136.000000	115.059998	95.480003	101.339996	96.139999	92.339996	91.239998	87.820000	87.379997	84.760002	84.980003	85.279999	83.099998	81.480003	83.680000	
30000	350.980011	253.759995	236.779999	174.880005	185.300003	178.179993	163.220001	154.279999	148.460007	150.360001	144.139999	142.559998	143.360001	139.320007	139.039993	135.279999	
40000	527.820007	389.760010	353.559998	257.720001	290.779999	268.279999	259.579987	247.119995	243.940002	234.679993	229.779999	227.580002	223.759995	222.779999	222.100006	221.839996	
50000	807.140015	542.979980	498.980011	381.279999	416.480011	397.019989	385.320007	369.420013	361.760010	358.640015	350.839996	352.839996	347.619995	341.619995	341.700012	339.739990	
60000	1112.859985	729.460022	672.960022	526.359985	595.820007	558.859985	542.260010	528.500000	517.539978	510.160004	505.779999	501.059998	497.260010	492.980011	491.760010	485.559998	
70000	1448.479980	930.280029	871.200012	694.140015	784.799988	743.700012	732.059998	722.340027	699.799988	696.460022	684.119995	678.260010	672.520020	671.559998	664.640015	661.140015	
80000	1821.979980	1134.839966	1105.540039	885.400024	1009.520020	951.580017	935.820007	928.400024	909.020020	898.679993	886.440002	884.219971	875.780029	875.119995	868.719971	857.320007	
90000	2334.320068	1410.719971	1328.300049	1123.160034	1265.459961	1194.699951	1170.400024	1151.180054	1136.180054	1129.619995	1123.719971	1116.520020	1104.400024	1099.780029	1091.099976	1087.579956	
100000	2894.899902	1705.000000	1619.199951	1398.500000	1536.400024	1473.699951	1432.599976	1424.300049	1398.900024	1392.500000	1363.199951	1370.500000	1355.599976	1341.900024	1348.099976	1337.300049	
200000	10749.700195	5928.500000	5806.600098	5260.200195	5730.399902	5555.000000	5425.500000	5372.500000	5354.500000	5345.899902	5328.700195	5301.000000	5282.500000	5271.000000	5252.200195	5251.500000	
300000	23698.400391	12831.599609	12854.000000	11777.500000	12530.200195	12161.900391	12000.299805	11918.200195	11862.000000	11861.400391	11825.099609	11801.599609	11771.299805	11781.299805	11719.099609	11737.700195	
400000	42077.000000	22422.699219	22810.400391	20801.800781	21977.800781	21421.300781	21146.099609	21011.599609	20912.800781	20967.199219	20826.699219	20813.199219	20859.400391	20834.099609	20744.099609	20794.199219	
500000	67867.601562	35205.398438	35139.601562	32616.099609	33865.300781	33391.101562	32876.601562	32747.800781	32650.599609	32585.800781	32530.300781	32500.400391	32421.400391	32501.699219	32392.300781	32373.900391	
600000	101142.796875	49752.000000	50756.300781	46638.398438	48636.300781	48238.300781	47240.500000	46991.199219	46824.898438	46796.601562	46758.898438	46763.800781	46665.898438	46732.500000	46568.699219	46594.000000	
700000	134216.093750	66558.398438	68181.796875	63553.699219	65901.398438	65107.500000	64144.699219	63966.500000	63735.601562	63692.199219	63563.398438	63464.500000	63391.699219	63437.601562	63370.699219	63359.101562	
800000	174746.593750	87106.101562	89023.203125	82744.796875	85478.203125	84277.898438	83292.296875	83168.703125	83166.203125	83136.000000	82910.000000	82915.000000	82794.898438	82913.796875	82673.296875	82690.101562	
900000	218668.703125	112305.203125	111862.703125	105069.000000	107494.000000	106929.601562	105720.898438	105157.203125	105253.796875	105150.203125	104897.296875	104692.000000	104848.101562	104798.898438	104687.101562	104658.601562	
1000000	269248.500000	137218.703125	140237.703125	129373.500000	133397.000000	131928.906250	130248.601562	129740.500000	129581.898438	129556.398438	129525.000000	129354.296875	129231.203125	129279.398438	129044.703125	129074.000000	
